web-scraper-order,web-scraper-start-url,app,app-href,title,developer-link,developer,developer-website,faq-link,app-category,rating,reviews,image-src
"1586368562-3353","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=12&pricing=all&requirements=off&sort_by=installed","FREE Traffic & Ads by sixads","https://apps.shopify.com/sixads-net?surface_detail=all&surface_inter_position=12&surface_intra_position=3&surface_type=category","FREE Traffic & Ads by sixads","https://apps.shopify.com/partners/developer-77c3c9545e2220e6","sixads","https://sixads.net/privacy-policy/","https://sixads.net","Store design","4.8 of 5 stars","(3394 reviews)","https://apps.shopifycdn.com/listing_images/085824fbcecc6ba017c777d160d36d87/icon/9a769ad66620552e75540b43a3537b28.png?height=84&width=84"
"1586361862-1426","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=92&pricing=all&requirements=off&sort_by=installed","Notifier ‑ Smart Web Push","https://apps.shopify.com/notifier-smart-web-push?surface_detail=all&surface_inter_position=92&surface_intra_position=10&surface_type=category","Notifier ‑ Smart Web Push","https://apps.shopify.com/partners/softpulse-infotech","Softpulse Infotech","https://shopiapps.in/sapps/general-privacy-policy.html","https://softpulseinfotech.com","Store design","5.0 of 5 stars","(5 reviews)","https://apps.shopifycdn.com/listing_images/8a37ed38b8334e8668ff0d133fb40cd4/icon/775a3229ae0032b287fbfa7a47781217.jpg?height=84&quality=90&width=84"
"1586366063-2207","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=59&pricing=all&requirements=off&sort_by=installed","Inventory Management 4 Makers","https://apps.shopify.com/katana-mrp-manufacturing-and-inventory-management?surface_detail=all&surface_inter_position=59&surface_intra_position=21&surface_type=category","Inventory Management 4 Makers","https://apps.shopify.com/partners/katana-mrp","Katana","https://katanamrp.com/?utm_source=shopify&utm_campaign=app_stores","https://support.katanamrp.com/","Orders and shipping","4.8 of 5 stars","(52 reviews)","https://apps.shopifycdn.com/listing_images/8446b0c82f404812c0eb12fdd368afd2/icon/dd6cc739907a50b372567d49fca6607c.png?height=84&width=84"
"1586367606-2917","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=30&pricing=all&requirements=off&sort_by=installed","Returnly: Returns & Exchanges","https://apps.shopify.com/returnly?surface_detail=all&surface_inter_position=30&surface_intra_position=7&surface_type=category","Returnly: Returns & Exchanges","https://apps.shopify.com/partners/returnly","Returnly Technologies, Inc","https://returnly.com/privacy/","https://returnly.com/shopify/","Orders and shipping","4.2 of 5 stars","(70 reviews)","https://apps.shopifycdn.com/listing_images/ff23874dc420a5a9196dc422970f062b/icon/f221c59b5e845feed9d0a24dd9b911a1.png?height=84&width=84"
"1586366765-2529","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=46&pricing=all&requirements=off&sort_by=installed","Facebook Reviews","https://apps.shopify.com/facebook-reviews-1?surface_detail=all&surface_inter_position=46&surface_intra_position=11&surface_type=category","Facebook Reviews","https://apps.shopify.com/partners/omegaapps","Omega","https://www.omegatheme.com/privacy-policy-app","https://www.omegatheme.com","Store design","4.7 of 5 stars","(60 reviews)","https://apps.shopifycdn.com/listing_images/8086a640c26b0f1a50682c9334730f58/icon/2b76f2b2e2476621e9b9701cf0ba7b00.png?height=84&width=84"
"1586368316-3239","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=16&pricing=all&requirements=off&sort_by=installed","WhatShare","https://apps.shopify.com/whatshare?surface_detail=all&surface_inter_position=16&surface_intra_position=21&surface_type=category","WhatShare","https://apps.shopify.com/partners/sherpas-design","Sherpas Design","null","https://www.kabukithemes.com/","Marketing","4.7 of 5 stars","(374 reviews)","https://apps.shopifycdn.com/listing_images/366e443d8cf1ddf80eeb653594374e3a/icon/4ee164c86cadba2dd3cbedf4676a2db5.png?height=84&width=84"
"1586365572-1982","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=69&pricing=all&requirements=off&sort_by=installed","Free Call","https://apps.shopify.com/free-call?surface_detail=all&surface_inter_position=69&surface_intra_position=6&surface_type=category","Free Call","https://apps.shopify.com/partners/developer-498009131140d5aa","Free Call inc.","https://www.freecallinc.com","https://www.freecallinc.com/?p=shopify_faq","Marketing","4.8 of 5 stars","(53 reviews)","https://apps.shopifycdn.com/listing_images/b23c7db9b1caeb9a47e77d617e4bfc67/icon/7c1ebefe2d607370e770b83d2f14977f.png?height=84&width=84"
"1586368115-3146","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=20&pricing=all&requirements=off&sort_by=installed","Sales Pop Up & Countdown Timer","https://apps.shopify.com/recently-bought-sales-popup?surface_detail=all&surface_inter_position=20&surface_intra_position=18&surface_type=category","Sales Pop Up & Countdown Timer","https://apps.shopify.com/partners/expert-village-media","Expert Village Media Technologies","https://www.expertvillagemedia.com/privacy-policy","https://www.expertvillagemedia.com/shopify-apps/salespop/","Store design","4.8 of 5 stars","(193 reviews)","https://apps.shopifycdn.com/listing_images/bd7f0f1c663695f413046ed93a248f88/icon/29c0dee40da0ac861e969c27b3c045bd.jpg?height=84&quality=90&width=84"
"1586365989-2173","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=61&pricing=all&requirements=off&sort_by=installed","Mega Product Image Exporter","https://apps.shopify.com/mega-image-exporter?surface_detail=all&surface_inter_position=61&surface_intra_position=7&surface_type=category","Mega Product Image Exporter","https://apps.shopify.com/partners/architechpro","Architechpro OÜ","https://architechpro.com/privacy","https://architechpro.com/","Store design","5.0 of 5 stars","(3 reviews)","https://apps.shopifycdn.com/listing_images/607dda7b3d79215d43bcc3dcc48414e6/icon/cc947e5130bbe70bb12e7054775ed3bc.png?height=84&width=84"
"1586362056-1516","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=88&pricing=all&requirements=off&sort_by=installed","WWE LTL Freight Quotes","https://apps.shopify.com/worldwide-express-ltl-freight?surface_detail=all&surface_inter_position=88&surface_intra_position=16&surface_type=category","WWE LTL Freight Quotes","https://apps.shopify.com/partners/developer-3873bf1f6423c796","Eniture Technology","https://eniture.com","https://eniture.com/shopify-worldwide-express-ltl-freight/","Orders and shipping","5.0 of 5 stars","(9 reviews)","https://apps.shopifycdn.com/listing_images/e55d11e4ff3ccc79b6bbd40d33eb5700/icon/fc861dbc6db2aa51cdb159dbae18c386.png?height=84&width=84"
